std_A, std_K, mean_A, mean_k, p50, p90, p99, percentile for 0.05 coe, percentile for 0.08 coe, percentile for 0.10 coe, percentile for 0.15 coe, standard deviation
0.5, 0.025, 8, 2.0, 0.099819452363, 0.116176309626, 0.126589509176, 0.01, 0.67, 50.76, None, 0.0113558985336
0.5, 0.025, 8, 2.25, 0.10177233893, 0.120248352058, 0.132329382557, 0.01, 0.84, 44.81, None, 0.0128165108708
0.5, 0.025, 8, 2.5, 0.10368479183, 0.124122606374, 0.137760740564, 0.01, 0.91, 40.72, None, 0.01417503032
0.5, 0.025, 8, 2.75, 0.10551122669, 0.127713125888, 0.142741769377, 0.01, 0.95, 36.75, None, 0.0154128612739
0.5, 0.025, 8, 3.0, 0.10722115848, 0.130953513994, 0.147169363966, 0.01, 0.96, 34.87, 99.59, 0.0165085121829
0.5, 0.025, 9, 1.5, 0.083556316186, 0.0899812310172, 0.0945704234232, 0.01, 23.88, None, None, 0.00492337215127
0.5, 0.025, 9, 1.75, 0.081811391416, 0.089849197851, 0.0951615805408, 0.01, 38.71, None, None, 0.00589264343655
0.5, 0.025, 9, 2.0, 0.081428096939, 0.0904494464358, 0.0965137897612, 0.01, 43.42, None, None, 0.00664332787056
0.5, 0.025, 9, 2.25, 0.0812500035165, 0.0912601093183, 0.0980540740662, 0.01, 44.1, 99.96, None, 0.00732627205033
0.5, 0.025, 9, 2.5, 0.0811987107855, 0.0920959861592, 0.0995807395236, 0.01, 44.4, 99.19, None, 0.00793653265268
0.5, 0.025, 9, 2.75, 0.081204925872, 0.0929225325574, 0.101051178541, 0.01, 44.54, 98.58, None, 0.00849919356238
0.5, 0.025, 9, 3.0, 0.0812508183895, 0.0937229662268, 0.102440337641, 0.01, 44.58, 98.08, None, 0.00901892487436
0.5, 0.05, 5, 1.5, 0.2442675685, 0.350006704498, 0.413318360382, 0.01, 0.01, 0.01, 0.01, 0.0644737235582
0.5, 0.05, 5, 1.75, 0.29114712719, 0.435710585682, 0.530325705476, 0.01, 0.01, 0.01, 0.01, 0.0884583288752
0.5, 0.05, 5, 2.0, 0.3386389776, 0.518700170474, 0.645260671473, 0.01, 0.01, 0.01, 0.01, 0.111473684746
0.5, 0.05, 5, 2.25, 0.38197857458, 0.59189535989, 0.747531848846, 0.01, 0.01, 0.01, 0.01, 0.131468057545
0.5, 0.05, 5, 2.5, 0.4188230968, 0.653277500238, 0.834641949816, 0.01, 0.01, 0.01, 0.01, 0.148145970364
0.5, 0.05, 5, 2.75, 0.4488732452, 0.703461560352, 0.907638805625, 0.01, 0.01, 0.01, 0.01, 0.161980563736
0.5, 0.05, 5, 3.0, 0.47293493782, 0.742606703084, 0.968371391934, 0.01, 0.01, 0.01, 0.01, 0.173486049425
0.5, 0.05, 6, 1.5, 0.15990692952, 0.203421922282, 0.227266835366, 0.01, 0.01, 0.01, 36.64, 0.0276276902239
0.5, 0.05, 6, 1.75, 0.17753095978, 0.234657510684, 0.268540900888, 0.01, 0.01, 0.01, 18.37, 0.0361323300738
0.5, 0.05, 6, 2.0, 0.19581578195, 0.265846926004, 0.310014217165, 0.01, 0.01, 0.01, 13.08, 0.0445415812009
0.5, 0.05, 6, 2.25, 0.21327896663, 0.29463188487, 0.348135591658, 0.01, 0.01, 0.01, 5.53, 0.0521495783593
0.5, 0.05, 6, 2.5, 0.22901702889, 0.319461819254, 0.380757480442, 0.01, 0.01, 0.01, 2.25, 0.0584947153022
0.5, 0.05, 6, 2.75, 0.24248533553, 0.339872889506, 0.407437071505, 0.01, 0.01, 0.01, 1.26, 0.0635106195586
0.5, 0.05, 6, 3.0, 0.25355618731, 0.35568579966, 0.428781774815, 0.01, 0.01, 0.01, 0.61, 0.0673833254999
